2076267	6,0	SV	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
2075412	6,0	6,0	0,0	6,0	6,0	6,0	6,0	5,0	6,0	0,0	6,0
2076258	5,0	SV	4,0	0,0	0,0	0,0	4,5	0,0	5,0	5,5	5,5
2076266	0,0	6,0	0,0	0,0	6,0	0,0	0,0	6,0	0,0	0,0	0,0
2077569	5,5	6,0	6,0	6,0	6,0	4,0	6,0	5,5	6,0	0,0	5,5
2077564	6,0	6,0	4,0	6,0	6,0	5,0	6,0	5,0	6,0	6,0	6,0
2075405	5,0	SV	6,0	6,0	6,0	0,0	6,0	5,0	6,0	5,5	6,0
2075404	6,0	SV	4,0	6,0	0,0	4,0	4,5	0,0	0,0	5,5	0,0
2075415	6,0	SV	4,5	6,0	0,0	4,0	5,5	0,0	0,0	0,0	0,0
2076264	6,0	SV	6,0	5,5	6,0	4,0	5,5	6,0	6,0	0,0	6,0
2067022	6,0	6,0	0,0	6,0	6,0	4,0	6,0	4,5	6,0	5,5	5,5
2067019	6,0	6,0	6,0	6,0	6,0	6,0	6,0	5,5	6,0	6,0	6,0
2076254	6,0	SV	6,0	6,0	6,0	6,0	5,5	5,0	5,0	5,0	0,0
2067018	6,0	6,0	6,0	6,0	6,0	6,0	6,0	6,0	6,0	4,5	4,0
2067008	6,0	SV	4,0	6,0	0,0	4,0	4,5	0,0	0,0	6,0	5,5
2067020	6,0	SV	4,0	6,0	0,0	4,0	0,0	0,0	0,0	0,0	0,0
2077560	6,0	6,0	6,0	6,0	6,0	6,0	5,5	6,0	6,0	5,0	0,0
2067007	2,0	SV	3,5	6,0	2,0	6,0	5,5	6,0	6,0	4,5	4,0
2080786	5,0	SV	3,5	6,0	6,0	2,5	3,0	1,0	3,0	0,0	5,0
2075421	5,0	6,0	0,0	6,0	6,0	0,0	0,0	0,0	0,0	0,0	0,0
2067012	6,0	6,0	6,0	6,0	6,0	0,0	5,5	5,0	6,0	6,0	6,0
2077474	5,5	SV	4,5	6,0	6,0	0,0	4,5	0,0	6,0	6,0	0,0
2067004	6,0	SV	5,5	6,0	6,0	6,0	5,5	6,0	6,0	6,0	5,5
2076255	5,5	SV	4,5	5,5	6,0	4,0	5,0	5,5	3,0	4,0	6,0
2079180	5,0	6,0	2,0	6,0	4,0	4,5	2,0	0,0	3,0	0,0	0,0
