2076272	6,0	6,0	6,0	0,0	0,0	6,0	0,0	6,0	0,0	6,0	6,0
2076283	6,0	6,0	6,0	6,0	6,0	6,0	5,5	5,5	6,0	6,0	6,0
2075430	6,0	6,0	6,0	6,0	6,0	6,0	5,5	5,5	6,0	4,5	6,0
2076273	1,0	SV	3,0	6,0	4,0	0,0	5,5	5,5	5,5	5,5	3,5
2067030	6,0	6,0	6,0	6,0	6,0	4,0	6,0	0,0	5,0	6,0	6,0
2076276	3,0	SV	6,0	0,0	6,0	6,0	5,5	5,5	6,0	6,0	6,0
2076282	6,0	6,0	5,5	6,0	6,0	6,0	5,5	5,5	5,0	6,0	6,0
2067023	6,0	6,0	6,0	6,0	6,0	4,0	6,0	5,5	6,0	4,0	6,0
2067028	6,0	6,0	6,0	6,0	6,0	5,5	5,5	5,5	6,0	4,5	0,0
2077583	6,0	SV	0,0	2,0	3,5	0,0	0,0	0,0	0,0	0,0	0,0
2076284	6,0	6,0	6,0	6,0	6,0	6,0	5,5	5,5	6,0	4,5	5,0
2067025	3,0	6,0	6,0	6,0	0,0	6,0	5,5	5,5	6,0	6,0	0,0
2080788	6,0	6,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
2079184	6,0	SV	6,0	6,0	4,0	6,0	5,5	1,5	0,0	6,0	6,0
2079185	6,0	SV	6,0	0,0	6,0	6,0	5,5	0,0	6,0	5,5	0,0
2075431	3,0	SV	3,5	6,0	6,0	6,0	0,0	5,0	6,0	6,0	0,0
2077582	5,5	6,0	6,0	6,0	6,0	6,0	5,5	5,5	6,0	4,5	6,0
2075429	6,0	6,0	0,0	6,0	6,0	6,0	5,5	5,5	6,0	6,0	6,0
2067027	6,0	6,0	6,0	6,0	4,0	6,0	5,5	4,5	6,0	6,0	6,0
2067024	6,0	6,0	6,0	6,0	6,0	6,0	5,5	5,5	6,0	6,0	6,0
2075423	6,0	SV	0,0	6,0	6,0	6,0	5,5	5,5	0,0	4,5	0,0
2077580	3,0	SV	3,5	5,5	6,0	0,0	0,0	5,0	6,0	6,0	0,0
2076287	5,5	6,0	6,0	6,0	6,0	6,0	5,5	5,5	6,0	6,0	6,0
2077986	0,0	SV	6,0	6,0	0,0	0,0	0,0	0,0	0,0	5,5	6,0
2075426	4,0	6,0	6,0	6,0	4,0	0,0	5,5	5,5	0,0	5,5	5,5
2077587	5,0	SV	0,0	0,0	0,0	6,0	0,0	0,0	0,0	0,0	0,0
2077581	6,0	SV	3,5	6,0	0,0	0,0	0,0	0,0	0,0	6,0	0,0
2067029	6,0	SV	3,0	6,0	6,0	0,0	5,5	5,5	6,0	6,0	4,5
2081596	5,0	SV	3,5	6,0	6,0	6,0	0,0	0,0	6,0	0,0	5,5
2052822	5,0	SV	1,0	3,0	4,0	3,0	5,0	0,0	0,0	4,5	0,0
2090346	0,0	SV	0,0	0,0	0,0	0,0	0,0	0,0	6,0	6,0	0,0
2076274	6,0	6,0	6,0	6,0	6,0	6,0	5,5	5,5	6,0	6,0	6,0
2070629	6,0	6,0	5,5	6,0	6,0	6,0	5,5	5,5	6,0	6,0	5,5
2043542	6,0	SV	6,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
2045924	5,5	SV	6,0	0,0	6,0	0,0	0,0	0,0	0,0	0,0	4,0
2075424	6,0	SV	5,5	6,0	6,0	6,0	5,5	5,5	6,0	6,0	6,0
2076288	4,5	SV	6,0	6,0	0,0	0,0	0,0	5,5	0,0	6,0	4,0
2090347	5,5	SV	3,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
2067026	6,0	SV	5,5	6,0	6,0	5,5	5,5	5,5	0,0	6,0	6,0
2077578	3,0	SV	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
2077579	5,0	6,0	6,0	0,0	6,0	0,0	0,0	0,0	0,0	0,0	6,0
2075432	6,0	6,0	6,0	6,0	6,0	6,0	5,5	4,5	6,0	4,5	5,5
2076275	6,0	SV	3,0	6,0	6,0	0,0	0,0	0,0	0,0	0,0	0,0
2077577	6,0	6,0	5,5	6,0	6,0	0,0	5,5	5,5	0,0	0,0	6,0
2080004	5,5	6,0	6,0	6,0	6,0	4,5	6,0	5,0	5,5	6,0	6,0
2075425	3,0	SV	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
